subject,DU time o,DU time r,DU time a,DU time n,DU time g,DU time shift,DU time E,DU time 2,DU time 0,DU time 1,DU time 9,DU time shift,DU time !,UD time o,UD time r,UD time a,UD time n,UD time g,UD time shift,UD time E,UD time 2,UD time 0,UD time 1,UD time 9,UD time shift,UD time !,3GRAM1,3GRAM2,3GRAM3,3GRAM4,3GRAM5,3GRAM6,3GRAM7,3GRAM8,3GRAM9,TOTAL TIME
sub77,0.187,0.172,0.172,0.188,0.157,0.296,0.188,0.172,0.172,0.156,0.187,0.266,0.171,0.203,1.36,0.14,0.109,1.141,0.078,0.986,0.156,0.094,0.094,0.938,0.031,2.422,2.298,2.203,2.001,2.862,1.892,1.924,1.031,1.907,1.781,7.596
sub77,0.157,0.141,0.172,0.157,0.156,0.281,0.203,0.156,0.203,0.187,0.187,0.297,0.203,0.187,0.328,0.156,0.328,2.501,0.094,1.485,0.079,0.047,0.047,1.157,0.078,1.298,1.438,3.751,3.532,4.688,2.313,2.36,0.906,2.125,2,8.643
sub77,0.141,0.125,0.156,0.156,0.14,0.281,0.156,0.187,0.175,0.172,0.156,0.25,0.156,0.156,0.344,0.188,0.141,0.61,0.031,1.204,0.156,0.128,0.172,1.126,0.047,1.266,1.25,1.672,1.453,2.547,2.128,2.178,1.146,2.179,1.985,6.398
sub77,0.187,0.14,0.188,0.171,0.172,0.328,0.188,0.187,0.219,0.199,0.172,0.203,0.156,0.36,0.375,0.141,0.094,0.844,0.125,0.75,0.031,0,0.016,0.609,0.047,1.562,1.281,1.938,1.672,2.344,1.578,1.574,0.824,1.418,1.308,5.558
sub77,0.141,0.14,0.172,0.141,0.141,0.297,0.172,0.172,0.205,0.188,0.172,0.234,0.156,0.141,0.36,0.234,0.156,3.48,0.063,0.725,0.094,0.047,0.046,0.532,0.015,1.329,1.344,4.621,4.324,4.924,1.602,1.603,0.924,1.424,1.313,8.068
sub78,0.125,0.109,0.156,0.14,0.109,0.281,0.109,0.172,0.125,0.14,0.094,0.296,0.063,0.112,0.25,0.11,0.407,0.328,0.046,0.281,0.078,0.11,0.094,0.266,0.063,1.002,1.281,1.531,1.328,1.234,1,1.015,0.813,1.11,0.89,3.846
sub78,0.109,0.094,0.109,0.086,0.078,0.297,0.094,0.141,0.093,0.109,0.094,0.312,0.063,0.141,0.234,0.094,0.234,0.391,0.047,0.234,0.063,0.11,0.094,0.156,0.063,0.867,0.929,1.289,1.133,1.188,0.875,0.844,0.704,0.953,0.765,3.32
sub79,0.172,0.156,0.172,0.172,0.172,1.691,0.172,0.125,0.141,0.125,0.122,0.427,0.172,1.753,1.678,0.797,0.672,1.713,0.172,4.916,0.594,0.559,0.612,0.76,0.062,4.9,3.819,5.358,4.42,8.617,7.467,6.663,2.278,2.746,2.156,17.639
sub79,0.173,0.172,0.234,0.172,0.156,0.641,0.125,0.172,0.172,0.203,0.156,0.531,0.125,0.531,0.85,0.391,0.388,0.922,0.125,2.61,0.375,0.672,0.766,0.891,0.094,2.523,2.363,2.904,2.279,4.501,3.97,4.329,2.516,3.391,2.578,11.209
sub79,0.218,0.156,0.187,0.157,0.156,0.625,0.141,0.156,0.125,0.14,0.157,0.547,0.109,5.021,0.976,0.297,0.283,1.046,0.141,1.741,0.759,0.454,0.498,0.406,0.109,7.012,2.212,2.626,2.267,3.724,3.406,3.641,2.289,2.311,1.748,14.105
sub79,0.141,0.188,0.125,0.141,0.188,0.803,0.172,0.109,0.109,0.141,0.172,0.922,0.171,0.516,0.437,0.735,0.396,0.844,0.172,1.286,0.522,0.507,0.656,0.547,0.171,2.283,2.21,3.232,2.372,3.23,2.829,2.846,2.216,2.96,2.438,9.485
