subject,DU time o,DU time r,DU time a,DU time n,DU time g,DU time shift,DU time E,DU time 2,DU time 0,DU time 1,DU time 9,DU time shift,DU time !,UD time o,UD time r,UD time a,UD time n,UD time g,UD time shift,UD time E,UD time 2,UD time 0,UD time 1,UD time 9,UD time shift,UD time !,3GRAM1,3GRAM2,3GRAM3,3GRAM4,3GRAM5,3GRAM6,3GRAM7,3GRAM8,3GRAM9,TOTAL TIME
sub10,0.097,0.079,0.116,0.091,0.083,0.207,0.075,0.078,0.103,0.083,0.083,0.292,0.068,0.073,0.136,0.034,0.127,0.182,0.075,0.143,0.1,0.013,0.046,0.177,0.068,0.626,0.666,0.82,0.69,0.693,0.631,0.615,0.506,0.726,0.681,2.343
sub11,0.089,0.111,0.13,0.091,0.117,0.72,0.102,0.099,0.103,0.115,0.083,0.411,0.075,0.69,0.349,0.369,0.431,0.61,0.09,0.849,0.272,0.099,0.217,0.584,0.05,1.829,1.598,2.468,1.981,2.407,2.055,1.639,0.988,1.612,1.435,6.576
sub11,0.061,0.083,0.111,0.099,0.099,0.715,0.115,0.098,0.099,0.115,0.083,0.388,0.083,0.311,0.831,0.246,0.142,0.673,0.107,0.92,0.26,0.126,0.727,0.369,0.071,1.742,1.611,2.085,1.736,2.513,2.1,1.733,1.508,1.907,1.694,6.576
sub11,0.081,0.09,0.11,0.095,0.079,0.48,0.107,0.09,0.1,0.103,0.087,0.401,0.112,0.242,0.647,0.267,0.14,0.867,0.103,1.224,0.245,0.085,0.707,0.639,0.111,1.532,1.428,2.038,1.665,2.744,2.143,1.954,1.417,2.122,1.938,6.784
sub11,0.073,0.103,0.114,0.091,0.107,0.596,0.111,0.082,0.091,0.119,0.091,0.456,0.103,0.212,0.737,0.255,0.114,0.901,0.111,0.864,0.19,0.121,0.164,0.591,0.103,1.585,1.521,2.15,1.809,2.55,1.823,1.606,0.858,1.629,1.421,6.072
sub12,0.101,0.084,0.147,0.099,0.079,0.324,0.151,0.127,0.127,0.166,0.091,0.268,0.135,0.175,0.2,0.262,0.165,0.313,0.131,0.176,0.098,0.066,0.074,0.204,0.135,1.068,1.036,1.389,1,1.039,0.872,0.911,0.749,0.984,0.803,3.366
sub14,0.113,0.079,0.14,0.131,0.111,0.224,0.099,0.107,0.111,0.116,0.088,0.288,0.075,0.072,0.127,0.016,0.103,0.057,0.075,0.166,0.074,0.064,0.471,0.383,0.075,0.646,0.675,0.75,0.65,0.689,0.706,0.737,1.031,1.517,1.346,3.033
sub16,0.101,0.088,0.099,0.139,0.095,0.472,0.107,0.087,0.111,0.099,0.087,0.308,0.107,0.432,0.231,0.458,0.528,0.411,0.107,0.27,0.106,0.065,0.04,0.465,0.107,1.548,1.638,2.19,1.645,1.335,1.046,0.857,0.595,1.127,0.999,4.692
sub16,0.093,0.082,0.119,0.148,0.083,0.268,0.114,0.098,0.107,0.094,0.075,0.275,0.083,0.089,0.142,0.067,0.183,0.152,0.111,0.161,0.103,0.086,0.05,0.311,0.07,0.74,0.824,1.02,0.837,0.765,0.74,0.763,0.613,0.998,0.818,2.802
sub16,0.093,0.107,0.123,0.127,0.083,0.272,0.095,0.111,0.103,0.095,0.099,0.338,0.103,0.03,0.146,0.036,0.144,0.076,0.091,0.17,0.07,0.079,0.073,0.56,0.103,0.662,0.766,0.861,0.706,0.716,0.73,0.723,0.63,1.299,1.165,2.939
